ExerciseID,ExerciseName
0,Floor Flyes
1,Ground Pounds
2,Twisting Push Up
3,Decline Push Up
4,Close Grip Push Up
5,Retro Dips
6,Plyo Dips
7,Weighted Dips
8,Incline Bench Press
9,Close Grip Bench Press
10,Lateral Raise
11,Front Raise
12,Leaning Raise
13,Landmine Press
14,Waiter Curl
15,Incline Curl
16,Bent Leg Raise
17,Forward Raise
18,Straight Leg Raise
19,Bulgarian Split Squat
20,Pistol Squat
21,Step Ups
22,Jumps
23,Back Squats
24,Front Squats
25,Straight Bar Deadlift
26,Romanian Dead Lift
27,Hex Bar Deadlift
28,Medicine Ball Curls
29,DB Row
30,Pull Downs
31,LB Raises
32,Dead Row
33,Yates Row
34,1 Arm Stretch Row
35,Chin Ups
36,Y Raise
37,T Raise
38,I Raise
39,Face Pull
40,DB Flat Bench Press
41,BB Flat Bench Press
42,1 Leg Glute High Bridge
43,Standing DB Press
44,Cross Over
45,Adductor Machine Squeeze
46,Cable Bicep Curl
47,Pushaways
48,Cable Reverse Push Downs
49,Farmers Walk
50,Rotator Cuff Pulls
51,Hammer Curls
